# id:13-26--13-1 
-0.93,-0.61,-1
0.02,0.69,1
0.79,0.6,1
-0.49,-0.72,1
-0.05,-0.46,1
-0.74,-0.35,1
0.39,-0.85,1
-0.05,-0.06,-1
-0.92,-0.06,1
-0.2,0.37,-1
-0.3,-0.67,1
-0.12,-0.99,-1
-0.18,0.18,1
-0.63,-0.94,1
-0.13,0.25,1
-0.04,-0.73,-1
-0.25,0.72,1
0.52,0.25,1
-0.97,-0.73,-1
-0.32,-0.46,1
0.3,-0.54,-1
0.86,-0.36,1
-0.3,-0.87,-1
0.82,0.63,1
-0.34,-0.83,-1
-0.97,-0.01,1
0.17,0.37,-1
0.73,-0.77,1
0.53,0.89,1
-0.32,0.48,1
0.98,0.33,1
0.65,0.93,-1
-0.74,0.78,1
-1,-0.47,1
0.14,0.87,1
-0.68,0.82,-1
-0.06,-0.82,-1
0.29,-0.9,1
-0.68,-0.66,-1
0.46,0.66,1
-0.69,0.47,1
-0.16,-0.82,1
0.91,0.17,-1
-0.6,0.01,1
-0.44,0.29,1
0.99,0.2,1
-0.84,-0.24,1
0.68,0.79,-1
0.42,0.6,1
-1,0.15,1
-0.41,-0.64,1
0.79,-0.45,1
-0.41,0.39,1
-0.43,0.29,1
-0.83,0.28,1
-0.36,0.31,1
-0.86,-0.1,-1
-0.23,0.34,-1
0.26,0.45,-1
0.38,0.45,1
0.12,1,1
-0.11,0.79,1
-0.29,-0.74,1
0.12,-0.35,1
0.87,0.02,-1
-0.12,0.1,1
0.56,-0.15,1
-0.87,-0.2,-1
-0.64,0.4,-1
0.25,-0.11,-1
-0.02,0.31,-1
-0.17,0.65,-1
0.2,-0.16,1
0.98,0.3,1
-0.31,0.02,-1
0.4,0.59,1
0.68,-0.22,1
0.14,-0.31,1
0.3,0,1
0.69,0.6,1
-0.24,-0.61,-1
0,-0.08,1
0.67,0.25,1
-0.67,0.65,1
-0.02,0.52,1
0.63,-0.14,-1
0.63,-0.12,1
-0.76,0.45,-1
0.04,-0.54,1
0.88,-0.92,1
-0.5,0.33,-1
0.16,0.01,1
0.42,-0.66,1
-0.07,-0.17,-1
-0.04,0.12,1
-0.63,0.83,1
0.83,-0.38,-1
0.46,-0.48,1
0.37,-0.01,-1
-0.77,1,1
-0.88,-0.99,1
0.28,0.43,1
-0.1,0.13,-1
-0.83,0.82,-1
-0.76,0.51,1
-0.14,-0.29,1
0.64,-0.34,1
